ticket_number,has_ep_ticket,boarded_dep,boarded_ret,name,phone_number,email,class,coach,is_staff
80259,FALSE,FALSE,FALSE,Cory Rosario,87017319,CoryRosario@mail.com,2d,2,FALSE
38948,FALSE,FALSE,FALSE,Louisa Sellers,565765441,LouisaSellers@mail.com,1e,3,FALSE
79450,FALSE,FALSE,FALSE,Madden Pineda,189547511,MaddenPineda@mail.com,2f,2,FALSE
54359,FALSE,FALSE,FALSE,Nola Elliott,214861146,NolaElliott@mail.com,1h,2,FALSE
32125,FALSE,FALSE,FALSE,Blake Sosa,997442220,BlakeSosa@mail.com,3a,1,FALSE
90151,FALSE,FALSE,FALSE,Cassandra Espinosa,979257540,CassandraEspinosa@mail.com,2f,3,FALSE
18150,FALSE,FALSE,FALSE,Khalid Owens,382851665,KhalidOwens@mail.com,1b,2,FALSE
12101,FALSE,FALSE,FALSE,Amaya Randall,373975591,AmayaRandall@mail.com,2d,2,FALSE
66852,FALSE,FALSE,FALSE,Trenton Hendricks,642501693,TrentonHendricks@mail.com,3a,3,FALSE
58165,FALSE,FALSE,FALSE,Dani Rose,89152592,DaniRose@mail.com,2d,3,FALSE
12728,FALSE,FALSE,FALSE,Hayden Herrera,749855218,HaydenHerrera@mail.com,1e,1,FALSE
5346,FALSE,FALSE,FALSE,Ximena Farmer,692136787,XimenaFarmer@mail.com,1c,2,FALSE
41647,FALSE,FALSE,FALSE,Jamison Good,475122346,JamisonGood@mail.com,1e,2,FALSE
9243,FALSE,FALSE,FALSE,Nathalia Ibarra,975341404,NathaliaIbarra@mail.com,2e,3,FALSE
4644,FALSE,FALSE,FALSE,Asa Clark,92965239,AsaClark@mail.com,1h,3,FALSE
86449,FALSE,FALSE,FALSE,Chloe Bailey,185293491,ChloeBailey@mail.com,3d,3,FALSE
71524,FALSE,FALSE,FALSE,Axel Cobb,320791590,AxelCobb@mail.com,1a,2,FALSE
99975,FALSE,FALSE,FALSE,Aviana Pham,265223981,AvianaPham@mail.com,1f,2,FALSE
80686,FALSE,FALSE,FALSE,Russell Villanueva,806482788,RussellVillanueva@mail.com,1d,3,FALSE
32460,FALSE,FALSE,FALSE,Monroe Combs,178449268,MonroeCombs@mail.com,1h,2,FALSE
90121,FALSE,FALSE,FALSE,Ahmad Roberts,176124936,AhmadRoberts@mail.com,1c,3,FALSE
13755,FALSE,FALSE,FALSE,Paisley Ruiz,819554723,PaisleyRuiz@mail.com,1d,1,FALSE
45992,FALSE,FALSE,FALSE,Austin Eaton,277027974,AustinEaton@mail.com,3b,1,FALSE
48675,FALSE,FALSE,FALSE,Miley Villa,748991100,MileyVilla@mail.com,2e,1,FALSE
41595,FALSE,FALSE,FALSE,Clay Patton,384614775,ClayPatton@mail.com,2b,1,FALSE
51442,FALSE,FALSE,FALSE,Lorelei Contreras,465756853,LoreleiContreras@mail.com,2i,3,FALSE
36076,FALSE,FALSE,FALSE,Emilio Ochoa,904777216,EmilioOchoa@mail.com,2c,3,FALSE
87452,FALSE,FALSE,FALSE,Luciana Sierra,85401994,LucianaSierra@mail.com,1e,2,FALSE
7465,FALSE,FALSE,FALSE,Dayton Davidson,384205094,DaytonDavidson@mail.com,2a,3,FALSE
45977,FALSE,FALSE,FALSE,Jayla Kelly,971627752,JaylaKelly@mail.com,2g,2,FALSE
83530,FALSE,FALSE,FALSE,Cooper Castillo,961507050,CooperCastillo@mail.com,1f,1,FALSE
74080,FALSE,FALSE,FALSE,Eva Bryant,117114806,EvaBryant@mail.com,1h,2,FALSE
50220,FALSE,FALSE,FALSE,Jonah Herman,231324947,JonahHerman@mail.com,2g,1,FALSE
61152,FALSE,FALSE,FALSE,Paulina Todd,23026049,PaulinaTodd@mail.com,2c,2,FALSE
74749,FALSE,FALSE,FALSE,Baylor Booth,598518687,BaylorBooth@mail.com,1c,3,FALSE
10229,FALSE,FALSE,FALSE,Zariyah Beil,476368226,ZariyahBeil@mail.com,1f,3,FALSE
42835,FALSE,FALSE,FALSE,Ariel McCarty,607447048,ArielMcCarty@mail.com,3a,3,FALSE
86498,FALSE,FALSE,FALSE,Halo Moyer,144987869,HaloMoyer@mail.com,2i,1,FALSE
24518,FALSE,FALSE,FALSE,Ahmir McDonald,776216591,AhmirMcDonald@mail.com,3b,1,FALSE
27115,FALSE,FALSE,FALSE,Daisy Shields,984222239,DaisyShields@mail.com,1a,1,FALSE
80007,FALSE,FALSE,FALSE,Devon Bernal,194661196,DevonBernal@mail.com,2a,2,FALSE
18515,FALSE,FALSE,FALSE,Emmeline Kane,120464126,EmmelineKane@mail.com,3e,3,FALSE
95384,FALSE,FALSE,FALSE,Brock Booker,365268218,BrockBooker@mail.com,1h,3,FALSE
75907,FALSE,FALSE,FALSE,Nataly Saunders,60127247,NatalySaunders@mail.com,1h,1,FALSE
73890,FALSE,FALSE,FALSE,Kasen Harvey,735156263,KasenHarvey@mail.com,2f,1,FALSE
25946,FALSE,FALSE,FALSE,Nicole Randall,563187435,NicoleRandall@mail.com,1a,2,FALSE
33269,FALSE,FALSE,FALSE,Trenton Potter,802336401,TrentonPotter@mail.com,1h,1,FALSE
70850,FALSE,FALSE,FALSE,Rory Freeman,964119077,RoryFreeman@mail.com,2e,2,FALSE
54227,FALSE,FALSE,FALSE,Jayce Reese,460390407,JayceReese@mail.com,2f,2,FALSE
49668,FALSE,FALSE,FALSE,Rosemary Cruz,259083057,RosemaryCruz@mail.com,2f,3,FALSE
87801,FALSE,FALSE,FALSE,Ryan Booker,151659899,RyanBooker@mail.com,4a,1,FALSE
17702,FALSE,FALSE,FALSE,Nataly Hayden,41797680,NatalyHayden@mail.com,1a,3,FALSE
71610,FALSE,FALSE,FALSE,Leroy Dixon,956346562,LeroyDixon@mail.com,1c,3,FALSE
71394,FALSE,FALSE,FALSE,Blakely Espinosa,511416169,BlakelyEspinosa@mail.com,2f,2,FALSE
57154,FALSE,FALSE,FALSE,Khalid Lane,907778276,KhalidLane@mail.com,2f,2,FALSE
76562,FALSE,FALSE,FALSE,Amy Pruitt,454744744,AmyPruitt@mail.com,1h,3,FALSE
61368,FALSE,FALSE,FALSE,Gatlin Brennan,561149801,GatlinBrennan@mail.com,2e,3,FALSE
96365,FALSE,FALSE,FALSE,Elodie Villegas,875680951,ElodieVillegas@mail.com,2b,3,FALSE
35794,FALSE,FALSE,FALSE,Clyde French,532161955,ClydeFrench@mail.com,1e,1,FALSE
31647,FALSE,FALSE,FALSE,Lorelai Olsen,250421608,LorelaiOlsen@mail.com,2e,1,FALSE
96647,FALSE,FALSE,FALSE,Skyler Ellis,218289604,SkylerEllis@mail.com,1f,2,FALSE
79180,FALSE,FALSE,FALSE,Ayla Dejesus,72126284,AylaDejesus@mail.com,1a,3,FALSE
48193,FALSE,FALSE,FALSE,Rio Palmer,53107244,RioPalmer@mail.com,2i,3,FALSE
24055,FALSE,FALSE,FALSE,Juniper Bond,464954068,JuniperBond@mail.com,1g,3,FALSE
11426,FALSE,FALSE,FALSE,Roger Ayers,331099270,RogerAyers@mail.com,1a,3,FALSE
33884,FALSE,FALSE,FALSE,Simone Taylor,682690101,SimoneTaylor@mail.com,1g,1,FALSE
82123,FALSE,FALSE,FALSE,Jackson Rivera,718897428,JacksonRivera@mail.com,2e,1,FALSE
28462,FALSE,FALSE,FALSE,Lillian Miranda,862232464,LillianMiranda@mail.com,2e,1,FALSE
20111,FALSE,FALSE,FALSE,Rory Novak,112227385,RoryNovak@mail.com,2h,2,FALSE
21152,FALSE,FALSE,FALSE,Kaiya Rodgers,370529532,KaiyaRodgers@mail.com,3b,3,FALSE
94713,FALSE,FALSE,FALSE,Mathias Atkins,372341718,MathiasAtkins@mail.com,2c,1,FALSE
40838,FALSE,FALSE,FALSE,Mina Wall,778483757,MinaWall@mail.com,2f,2,FALSE
14786,FALSE,FALSE,FALSE,Issac Ellison,73731993,IssacEllison@mail.com,1a,1,FALSE
42627,FALSE,FALSE,FALSE,Raina Best,750407605,RainaBest@mail.com,3d,2,FALSE
78763,FALSE,FALSE,FALSE,Harlem Chung,184548323,HarlemChung@mail.com,2f,1,FALSE
2231,FALSE,FALSE,FALSE,Rivka Hensley,366477571,RivkaHensley@mail.com,Other,3,FALSE
8334,FALSE,FALSE,FALSE,Layne Hogan,692053570,LayneHogan@mail.com,2g,3,FALSE
98125,FALSE,FALSE,FALSE,Kathryn Herrera,874098145,KathrynHerrera@mail.com,1a,3,FALSE
7170,FALSE,FALSE,FALSE,River Townsend,929275816,RiverTownsend@mail.com,1d,1,FALSE
51516,FALSE,FALSE,FALSE,Azalea Vaughn,738144624,AzaleaVaughn@mail.com,1b,1,FALSE
70478,FALSE,FALSE,FALSE,Remy Miranda,660218406,RemyMiranda@mail.com,2e,2,FALSE
98817,FALSE,FALSE,FALSE,Amina Morrow,509386093,AminaMorrow@mail.com,2b,1,FALSE
69666,FALSE,FALSE,FALSE,Kyree Knox,615057246,KyreeKnox@mail.com,2e,3,FALSE
46271,FALSE,FALSE,FALSE,Kallie Cochran,480097959,KallieCochran@mail.com,2h,3,FALSE
89796,FALSE,FALSE,FALSE,Danny Lucas,560154793,DannyLucas@mail.com,1a,1,FALSE
59096,FALSE,FALSE,FALSE,Phoenix Valentine,797148820,PhoenixValentine@mail.com,1f,3,FALSE
79988,FALSE,FALSE,FALSE,Demetrius Glenn,888072716,DemetriusGlenn@mail.com,1g,2,FALSE
72692,FALSE,FALSE,FALSE,Blaire Bowen,549363999,BlaireBowen@mail.com,2a,1,FALSE
73570,FALSE,FALSE,FALSE,Trevor Rowe,670497499,TrevorRowe@mail.com,2e,1,FALSE
82549,FALSE,FALSE,FALSE,Matilda Velez,460247941,MatildaVelez@mail.com,1d,3,FALSE
45349,FALSE,FALSE,FALSE,Kareem Black,287709571,KareemBlack@mail.com,3e,1,FALSE
48558,FALSE,FALSE,FALSE,Molly Gould,927972710,MollyGould@mail.com,3e,3,FALSE
10760,FALSE,FALSE,FALSE,Blaine Aguirre,644915709,BlaineAguirre@mail.com,1h,1,FALSE
98773,FALSE,FALSE,FALSE,Ariah Conner,26039691,AriahConner@mail.com,2i,2,FALSE
14121,FALSE,FALSE,FALSE,Phillip Finley,652631185,PhillipFinley@mail.com,1e,2,FALSE
20021,FALSE,FALSE,FALSE,Jovie Carr,605637902,JovieCarr@mail.com,1e,3,FALSE
43165,FALSE,FALSE,FALSE,Kash Guzman,234890487,KashGuzman@mail.com,2b,3,FALSE
73017,FALSE,FALSE,FALSE,Ashley Stone,556022146,AshleyStone@mail.com,1a,1,FALSE
81360,FALSE,FALSE,FALSE,Finn Austin,906112420,FinnAustin@mail.com,2h,3,FALSE
20558,FALSE,FALSE,FALSE,Alivia Rogers,634255063,AliviaRogers@mail.com,1a,1,FALSE
87503,FALSE,FALSE,FALSE,Colton Bailey,652802051,ColtonBailey@mail.com,3a,1,TRUE
11854,FALSE,FALSE,FALSE,Kennedy Lucero,664032174,KennedyLucero@mail.com,3g,2,FALSE
26588,FALSE,FALSE,FALSE,Felipe McDonald,286625818,FelipeMcDonald@mail.com,2e,1,FALSE
55288,FALSE,FALSE,FALSE,Daisy Richmond,160498430,DaisyRichmond@mail.com,1a,3,FALSE
19662,FALSE,FALSE,FALSE,Mordechai Singleton,153878917,MordechaiSingleton@mail.com,2f,3,FALSE
2399,FALSE,FALSE,FALSE,Malaysia Herrera,413161941,MalaysiaHerrera@mail.com,3b,3,FALSE
16728,FALSE,FALSE,FALSE,River Little,31699129,RiverLittle@mail.com,2c,2,FALSE
20411,FALSE,FALSE,FALSE,Harley Greer,619236738,HarleyGreer@mail.com,1a,2,FALSE
5729,FALSE,FALSE,FALSE,Koda Cantrell,128662371,KodaCantrell@mail.com,2g,2,FALSE
19366,FALSE,FALSE,FALSE,Yamileth Fields,959426021,YamilethFields@mail.com,1b,3,FALSE
18586,FALSE,FALSE,FALSE,Clayton Villanueva,71174809,ClaytonVillanueva@mail.com,3a,1,TRUE
70015,FALSE,FALSE,FALSE,Monroe Santana,784125016,MonroeSantana@mail.com,1d,3,FALSE
88977,FALSE,FALSE,FALSE,Mohamed Pierce,619342083,MohamedPierce@mail.com,2e,1,FALSE
93094,FALSE,FALSE,FALSE,Arabella Hart,260359577,ArabellaHart@mail.com,1h,1,FALSE
589,FALSE,FALSE,FALSE,Joel Cervantes,70863607,JoelCervantes@mail.com,1g,1,FALSE
65184,FALSE,FALSE,FALSE,Aylin Collier,968914153,AylinCollier@mail.com,2f,1,FALSE
9918,FALSE,FALSE,FALSE,Edison Rice,283787193,EdisonRice@mail.com,1a,3,FALSE
7525,FALSE,FALSE,FALSE,Ada Blake,740314195,AdaBlake@mail.com,1h,2,FALSE
85713,FALSE,FALSE,FALSE,Zyaire Carter,67077243,ZyaireCarter@mail.com,2c,2,TRUE
97569,FALSE,FALSE,FALSE,Lucy Christian,474675321,LucyChristian@mail.com,1d,1,FALSE
